id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
149,12470844,K00790.02,Kepler-233 c,CONFIRMED,CANDIDATE,,,,,,60.41916,0.00093,-0.00093,181.1621,0.0064,-0.0064,0.57,0.69,-0.69,4.969,,,962,,,2.4,0.75,-0.75,381.0,,,,,,23.2,,,5331.0,76.0,-76.0,4.62,0.3,-0.3,0.751,0.04,-0.04,296.36652,51.319519,15.339
150,12644822,K00791.01,Kepler-682 b,CONFIRMED,CANDIDATE,,,,,,12.611904,1.8e-05,-1.8e-05,180.8918,0.0005,-0.0005,0.582,0.1,-0.1,5.165,,,6053,,,7.1,2.8,-2.8,739.0,,,,,,344.7,,,5760.0,102.0,-102.0,4.53,0.3,-0.3,0.88,0.34,-0.34,289.11221,51.737381,15.14
151,2713049,K00794.01,Kepler-683 b,CONFIRMED,CANDIDATE,,,,,,2.53917,2e-05,-2e-05,169.6748,0.0022,-0.0022,0.852,0.1,-0.1,2.5413,,,398,,,2.2,1.0,-1.0,1337.0,,,,,,44.2,,,5980.0,127.0,-127.0,4.49,0.3,-0.3,0.95,0.45,-0.45,291.43997,37.905659,15.026
152,3114167,K00795.01,Kepler-684 b,CONFIRMED,CANDIDATE,,,,,,6.770278,3.1e-05,-3.1e-05,170.5774,0.0015,-0.0015,0.8,0.6,-0.6,1.9859,,,1355,,,3.5,1.2,-1.2,898.0,,,,,,55.1,,,5766.0,93.0,-93.0,4.55,0.3,-0.3,0.86,0.25,-0.25,290.87051,38.273628,15.591
153,8150320,K00904.02,Kepler-55 b,CONFIRMED,CANDIDATE,,,,,,27.95369,0.00035,-0.00035,178.7506,0.006,-0.006,0.04,0.8,-0.8,5.6958,,,739,,,1.56,0.18,-0.18,392.0,,,,,,19.2,,,4509.0,64.0,-64.0,4.68,0.3,-0.3,0.602,0.014,-0.014,285.16833,44.026459,15.791
154,5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE,,,,,,21.222534,9.3e-05,-9.3e-05,137.5738,0.0017,-0.0017,0.01,0.58,-0.58,6.4708,,,362,,,2.71,0.34,-0.34,793.0,,,,,,126.9,,,5871.0,44.0,-44.0,4.15,0.1,-0.1,1.43,0.18,-0.18,290.39273,40.28487,12.365
155,8226994,K00906.01,Kepler-250 c,CONFIRMED,CANDIDATE,,,,,,7.156816,4.8e-05,-4.8e-05,174.1343,0.0022,-0.0022,0.61,0.38,-0.38,2.6287,,,850,,,2.3,1.4,-1.4,761.0,,,,,,51.2,,,5099.0,135.0,-135.0,4.56,0.3,-0.3,0.76,0.44,-0.44,289.59476,44.141949,15.46
156,2584163,K01031.01,Kepler-754 b,CONFIRMED,CANDIDATE,,,,,,14.55916,0.00047,-0.00047,135.971,0.012,-0.012,0.895,0.1,-0.1,6.3273,,,313,,,2.04,0.84,-0.84,758.0,,,,,,16.3,,,5952.0,118.0,-118.0,4.46,0.3,-0.3,0.97,0.4,-0.4,293.25412,37.846191,15.16
157,3342970,K00800.02,Kepler-234 c,CONFIRMED,CANDIDATE,,,,,,7.212031,6e-05,-6e-05,172.817,0.0029,-0.0029,0.779,0.1,-0.1,4.205,,,945,,,3.4,1.4,-1.4,990.0,,,,,,57.1,,,6157.0,135.0,-135.0,4.48,0.3,-0.3,1.0,0.43,-0.43,291.65353,38.494659,15.541
158,3351888,K00801.01,Kepler-685 b,CONFIRMED,CANDIDATE,,,,,,1.62552343,6.2e-07,-6.2e-07,170.825688,8.8e-05,-8.8e-05,0.01,0.37,-0.37,2.3893,,,8047,,,8.7,4.7,-4.7,1524.0,,,,,,929.2,,,5612.0,129.0,-129.0,4.39,0.3,-0.3,0.99,0.53,-0.53,293.87192,38.422939,15.001
