,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
569,3035,8621348,K00461.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,11.34441,3.3e-05,-3.3e-05,172.8404,0.0019,-0.0019,0.03,0.18,-0.18,3.5539,,,569,,,1.9,1.3,-1.3,728.0,,,,,,55.9,,,5643.0,74.0,-74.0,4.57,0.3,-0.3,0.83,0.42,-0.42,290.53214,44.77512,14.41
570,3040,8891318,K00465.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,363.7077,0.0028,-0.0028,204.0183,0.0036,-0.0036,0.932,0.1,-0.1,8.5344,,,1646,,,5.2,2.0,-2.0,274.0,,,,,,56.6,,,6229.0,111.0,-111.0,4.46,0.3,-0.3,1.03,0.4,-0.4,293.9285,45.142509,14.188
571,3054,6461850,K03054.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.544961,1.1e-06,-1.1e-06,131.5258,0.0011,-0.0011,0.14,0.9,-0.9,1.2408,,,531,,,1.6,1.0,-1.0,1632.0,,,,,,37.3,,,5066.0,200.0,-200.0,4.71,0.3,-0.3,0.69,0.3,-0.3,297.10153,41.876862,15.966
572,3056,7281454,K03055.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.566806,1.4e-05,-1.4e-05,131.8164,0.0018,-0.0018,0.974,0.1,-0.1,1.1509,,,106,,,0.97,0.19,-0.19,1794.0,,,,,,18.1,,,5197.0,74.0,-74.0,4.61,0.3,-0.3,0.73,0.13,-0.13,291.60175,42.86388,14.648
573,3060,8192911,K03058.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,7.538885,7.2e-05,-7.2e-05,135.3292,0.0075,-0.0075,0.37,0.76,-0.76,3.0899,,,425,,,1.95,0.97,-0.97,812.0,,,,,,17.5,,,5122.0,200.0,-200.0,4.46,0.3,-0.3,0.96,0.3,-0.3,299.72845,44.031811,15.504
574,3061,10554967,K03059.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.5363397,1.1e-06,-1.1e-06,131.7082,0.001,-0.001,0.43,0.83,-0.83,1.1485,,,528,,,1.7,1.1,-1.1,1765.0,,,,,,36.9,,,5301.0,200.0,-200.0,4.68,0.3,-0.3,0.74,0.3,-0.3,298.65317,47.713711,15.546
575,3074,3248033,K00006.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.3341094,2.3e-06,-2.3e-06,133.69905,0.00037,-0.00037,0.0283,0.1,-0.1,2.1315,,,369,,,2.98,0.44,-0.44,2140.0,,,,,,222.1,,,6167.0,154.0,-154.0,4.15,0.1,-0.1,1.55,0.23,-0.23,294.59955,38.366772,12.161
576,3098,7613246,K03062.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.7691238,1.9e-06,-1.9e-06,131.5683,0.0012,-0.0012,0.61,0.95,-0.95,0.9653,,,164,,,1.3,0.72,-0.72,2017.0,,,,,,24.0,,,6081.0,98.0,-98.0,4.5,0.3,-0.3,0.96,0.35,-0.35,293.57123,43.28648,14.98
577,3101,9899505,K03064.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.3325576,2.5e-06,-2.5e-06,132.0534,0.0014,-0.0014,0.014,0.1,-0.1,4.2845,,,1006,,,2.6,1.1,-1.1,1534.0,,,,,,118.1,,,5835.0,200.0,-200.0,4.6,0.3,-0.3,0.85,0.3,-0.3,295.26227,46.78138,15.952
578,3104,4847782,K03067.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,30.95978,0.00046,-0.00046,139.4373,0.009,-0.009,1.05,0.74,-0.74,2.8668,,,451,,,5.9,3.7,-3.7,420.0,,,,,,12.7,,,4916.0,175.0,-175.0,4.68,0.3,-0.3,0.66,0.27,-0.27,295.06442,39.960659,15.082
579,3129,9210823,K00090.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.82820711,5.1e-07,-5.1e-07,135.72095,0.0003,-0.0003,0.026,0.1,-0.1,1.9009,,,431,,,3.3,1.4,-1.4,2506.0,,,,,,227.9,,,5796.0,69.0,-69.0,4.03,0.3,-0.3,1.63,0.41,-0.41,288.44153,45.609001,11.743
580,3141,6072593,K03070.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.075358,3.1e-05,-3.1e-05,133.9303,0.0043,-0.0043,0.93,0.51,-0.51,1.7583,,,156,,,1.8,1.0,-1.0,1157.0,,,,,,15.7,,,5913.0,108.0,-108.0,4.33,0.3,-0.3,1.12,0.42,-0.42,299.44733,41.398121,14.196
581,3146,8197560,K03074.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.0242555,3.5e-06,-3.5e-06,131.4917,0.0028,-0.0028,0.62,0.87,-0.87,1.8297,,,1894,,,3.7,1.9,-1.9,1481.0,,,,,,41.7,,,5136.0,200.0,-200.0,4.59,0.3,-0.3,0.81,0.3,-0.3,300.97794,44.089069,16.695
582,3148,11551715,K03076.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,225.568,0.012,-0.012,262.511,0.022,-0.022,0.88,0.73,-0.73,6.3127,,,456,,,2.1,2.1,-2.1,256.0,,,,,,6.4,,,5241.0,81.0,-81.0,4.5,0.3,-0.3,0.82,0.74,-0.74,287.62094,49.584629,15.333
583,3156,12106929,K00359.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.937192,1.3e-05,-1.3e-05,171.576,0.0015,-0.0015,0.029,0.1,-0.1,3.8512,,,415,,,1.83,0.77,-0.77,988.0,,,,,,74.0,,,5954.0,68.0,-68.0,4.52,0.3,-0.3,0.92,0.29,-0.29,289.1702,50.627621,13.799
584,3157,12107021,K00360.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.94174,0.00039,-0.00039,171.579,0.018,-0.018,0.62,0.35,-0.35,3.9905,,,36,,,0.69,0.1,-0.1,1083.0,,,,,,54.0,,,6104.0,52.0,-52.0,4.42,0.1,-0.1,1.085,0.068,-0.068,289.21481,50.650921,13.021
585,3161,2438070,K00363.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.4429432,1.5e-06,-1.5e-06,171.09694,0.0004,-0.0004,0.031,0.1,-0.1,2.9819,,,967,,,4.3,2.5,-2.5,1588.0,,,,,,236.2,,,5597.0,108.0,-108.0,4.1,0.3,-0.3,1.41,0.44,-0.44,290.27777,37.78933,13.771
586,3171,12316431,K00485.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,17.907674,3.4e-05,-3.4e-05,175.5577,0.0012,-0.0012,0.03,0.11,-0.11,4.2082,,,1041,,,3.1,2.0,-2.0,729.0,,,,,,92.9,,,6157.0,88.0,-88.0,4.48,0.3,-0.3,0.99,0.41,-0.41,296.10959,51.005501,14.162
587,3179,9763754,K00589.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,17.477,0.001,-0.001,186.557,0.038,-0.038,0.93,0.78,-0.78,4.0841,,,30,,,0.7,0.42,-0.42,744.0,,,,,,2.7,,,6196.0,83.0,-83.0,4.47,0.3,-0.3,1.01,0.36,-0.36,288.6496,46.597752,14.547
588,3182,9886221,K00591.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.992664,1.2e-05,-1.2e-05,170.7979,0.0024,-0.0024,0.24,0.88,-0.88,1.8191,,,119,,,0.91,0.71,-0.71,1153.0,,,,,,18.5,,,5693.0,75.0,-75.0,4.56,0.3,-0.3,0.84,0.51,-0.51,289.8533,46.787151,14.396
589,3186,6312171,K03079.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,92.5734,0.008,-0.008,171.131,0.024,-0.024,0.34,0.65,-0.65,8.4509,,,335,,,1.5,0.77,-0.77,362.0,,,,,,3.9,,,5632.0,129.0,-129.0,4.57,0.3,-0.3,0.83,0.38,-0.38,298.81332,41.627468,15.181
590,3187,10665043,K03080.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,185.01,0.017,-0.017,307.679,0.052,-0.052,0.5,0.83,-0.83,17.9601,,,226,,,1.12,0.66,-0.66,239.0,,,,,,6.0,,,4928.0,200.0,-200.0,4.64,0.3,-0.3,0.73,0.3,-0.3,291.63528,47.932018,15.647
591,3188,3654719,K03081.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,25.91912,0.0005,-0.0005,138.208,0.012,-0.012,0.03,0.34,-0.34,4.8797,,,497,,,1.8,1.1,-1.1,543.0,,,,,,10.5,,,5585.0,80.0,-80.0,4.58,0.3,-0.3,0.81,0.34,-0.34,293.77737,38.775459,15.406
592,3189,10619142,K03082.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.045145,1.5e-05,-1.5e-05,132.3696,0.0053,-0.0053,0.02,0.12,-0.12,4.0316,,,173,,,2.7,1.8,-1.8,2963.0,,,,,,18.1,,,9205.0,200.0,-200.0,4.11,0.3,-0.3,2.13,0.98,-0.98,298.38052,47.836048,14.978
593,3194,3324986,K03084.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.540402,7e-06,-7e-06,131.9947,0.0027,-0.0027,0.33,0.85,-0.85,1.8258,,,159,,,1.06,0.64,-0.64,1474.0,,,,,,18.1,,,5791.0,86.0,-86.0,4.55,0.3,-0.3,0.87,0.43,-0.43,286.01587,38.411339,14.991
594,3202,7051180,K00064.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.9510914,4e-06,-4e-06,157.54077,0.00052,-0.00052,0.937,0.1,-0.1,1.8143,,,1203,,,5.12,0.8,-0.8,1497.0,,,,,,143.5,,,5439.0,60.0,-60.0,4.27,0.1,-0.1,1.17,0.18,-0.18,296.51059,42.54744,13.143
595,3207,2576197,K00489.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.217029,1.1e-05,-1.1e-05,171.697,0.0014,-0.0014,0.969,0.1,-0.1,2.6593,,,591,,,3.5,1.0,-1.0,1581.0,,,,,,66.4,,,6398.0,132.0,-132.0,4.42,0.3,-0.3,1.1,0.31,-0.31,291.54099,37.816559,14.613
596,3216,3834360,K00493.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.9084604,3.6e-06,-3.6e-06,170.12298,0.0008,-0.0008,0.04,0.67,-0.67,1.8437,,,704,,,2.3,1.3,-1.3,1197.0,,,,,,74.5,,,5810.0,88.0,-88.0,4.55,0.3,-0.3,0.87,0.44,-0.44,286.0705,38.975101,14.722
597,3223,5608566,K00609.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.3969343,2.9e-06,-2.9e-06,172.02738,0.00022,-0.00022,1.01,0.13,-0.13,1.91,,,4668,,,14.9,9.7,-9.7,1238.0,,,,,,463.1,,,5922.0,118.0,-118.0,4.3,0.3,-0.3,1.17,0.62,-0.62,288.16071,40.878891,14.491
598,3228,6960456,K00613.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.07444,3.9e-05,-3.9e-05,171.5633,0.0052,-0.0052,0.09,0.91,-0.91,4.1516,,,231,,,1.12,0.63,-0.63,873.0,,,,,,21.8,,,5345.0,103.0,-103.0,4.62,0.3,-0.3,0.75,0.33,-0.33,295.19717,42.416939,14.789
599,3229,11912932,K03085.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.747888,3e-05,-3e-05,134.17,0.0054,-0.0054,0.36,0.85,-0.85,3.8206,,,97,,,0.82,0.48,-0.48,1064.0,,,,,,18.6,,,5664.0,89.0,-89.0,4.57,0.3,-0.3,0.83,0.39,-0.39,290.9725,50.267948,14.323
601,3232,9119568,K03087.02,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.221842,2e-05,-2e-05,131.9329,0.0065,-0.0065,0.04,0.83,-0.83,6.2923,,,18,,,0.37,0.13,-0.13,1435.0,,,,,,10.2,,,5175.0,63.0,-63.0,4.53,0.3,-0.3,0.79,0.27,-0.27,300.93738,45.49007,12.837
602,3242,12643589,K00376.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,44.146094,5.8e-05,-5.8e-05,211.53131,0.00085,-0.00085,1.06,0.16,-0.16,3.9103,,,3659,,,20.0,12.0,-12.0,635.0,,,,,,172.0,,,6686.0,97.0,-97.0,4.36,0.3,-0.3,1.23,0.53,-0.53,288.32147,51.726601,13.754
603,3246,10223615,K00065.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,27.25472,4.1e-05,-4.1e-05,176.52949,0.00092,-0.00092,1.02,0.79,-0.79,0.7283,,,36,,,7.7,4.4,-4.4,696.0,,,,,,3.4,,,5751.0,72.0,-72.0,4.18,0.3,-0.3,1.31,0.37,-0.37,297.39066,47.223869,11.679
604,3248,2449074,K00378.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.9440222,7e-06,-7e-06,173.74725,0.00095,-0.00095,0.029,0.1,-0.1,3.0607,,,910,,,2.61,,,982.0,,,,,,94.7,,,5504.0,,,4.475,,,0.884,,,292.6933,37.705513,13.15
605,3249,2446113,K00379.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,6.717274,4e-05,-4e-05,170.996,0.0019,-0.0019,0.22,0.34,-0.34,2.4261,,,290,,,2.9,1.2,-1.2,1353.0,,,,,,56.1,,,6558.0,167.0,-167.0,4.12,0.3,-0.3,1.66,0.69,-0.69,292.05676,37.776192,13.319
606,3251,2452450,K00380.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.0970439,7.2e-06,-7.2e-06,170.81146,0.00059,-0.00059,0.027,0.1,-0.1,4.6002,,,1019,,,5.3,3.1,-3.1,1294.0,,,,,,219.6,,,6638.0,122.0,-122.0,4.11,0.3,-0.3,1.7,0.68,-0.68,293.44879,37.722641,13.11
607,3252,4049108,K00495.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.8044661,7.8e-06,-7.8e-06,169.6343,0.0011,-0.0011,0.015,0.1,-0.1,2.6607,,,767,,,2.3,1.8,-1.8,962.0,,,,,,79.1,,,5486.0,92.0,-92.0,4.53,0.3,-0.3,0.84,0.53,-0.53,289.31018,39.132221,14.873
608,3266,10216045,K00594.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,16.88954693,,,183.15557,,,0.3162,0.1,-0.1,3.4113,,,9,,,0.23,0.09,-0.09,608.0,,,,,,0.6,,,5475.0,85.0,-85.0,4.6,0.3,-0.3,0.79,0.3,-0.3,294.98788,47.21986,14.736
609,3274,8046689,K03092.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.785382,4e-05,-4e-05,137.0941,0.0053,-0.0053,0.3,0.78,-0.78,2.2309,,,297,,,1.68,0.83,-0.83,1088.0,,,,,,16.1,,,6318.0,200.0,-200.0,4.49,0.3,-0.3,0.99,0.3,-0.3,297.42636,43.816502,15.451
610,3283,9959589,K03098.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.332567,9.6e-06,-9.6e-06,132.0505,0.0051,-0.0051,0.029,0.1,-0.1,3.9691,,,195,,,1.32,0.78,-0.78,1704.0,,,,,,24.3,,,6082.0,121.0,-121.0,4.49,0.3,-0.3,0.97,0.37,-0.37,295.2374,46.81963,15.787
611,3285,3231137,K00382.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.900156,3.3e-06,-3.3e-06,172.36974,0.00056,-0.00056,0.03,0.1,-0.1,2.6827,,,759,,,3.0,1.3,-1.3,1331.0,,,,,,149.9,,,6434.0,92.0,-92.0,4.41,0.3,-0.3,1.12,0.26,-0.26,290.34735,38.377899,13.561
612,3286,3342463,K00383.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,34.1079,0.0014,-0.0014,183.569,0.027,-0.027,0.9,0.73,-0.73,4.0986,,,29,,,0.73,0.44,-0.44,647.0,,,,,,3.5,,,6411.0,88.0,-88.0,4.39,0.3,-0.3,1.14,0.48,-0.48,291.52365,38.40519,13.109
613,3299,5282051,K00502.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.910321,2.9e-05,-2.9e-05,171.1526,0.003,-0.003,0.03,0.17,-0.17,3.5129,,,235,,,1.52,0.91,-0.91,998.0,,,,,,31.7,,,5544.0,84.0,-84.0,4.35,0.3,-0.3,1.02,0.38,-0.38,293.83701,40.41275,14.276
614,3306,5903312,K00008.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.1601562,2e-06,-2e-06,121.70172,0.00033,-0.00033,0.253,0.1,-0.1,1.649,,,399,,,1.99,0.17,-0.17,1739.0,,,,,,187.8,,,5846.0,60.0,-60.0,4.44,0.1,-0.1,1.0,0.086,-0.086,298.66101,41.13789,12.45
615,3314,2441151,K00603.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.1920104,1.5e-06,-1.5e-06,171.67034,0.00045,-0.00045,0.014,0.1,-0.1,2.2045,,,1503,,,3.0,2.5,-2.5,1202.0,,,,,,176.4,,,5486.0,77.0,-77.0,4.59,0.3,-0.3,0.79,0.53,-0.53,290.93726,37.703972,14.687
616,3317,5124254,K03099.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,14.04978,0.00013,-0.00013,140.5054,0.0067,-0.0067,0.63,0.89,-0.89,2.8757,,,480,,,1.25,0.53,-0.53,444.0,,,,,,14.3,,,4200.0,72.0,-72.0,4.72,0.3,-0.3,0.545,0.012,-0.012,297.85632,40.218102,15.648
617,3318,7107561,K03100.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.8125887,2.8e-06,-2.8e-06,131.5606,0.0021,-0.0021,0.97,0.4,-0.4,1.2209,,,56,,,1.01,0.91,-0.91,2036.0,,,,,,22.9,,,6093.0,90.0,-90.0,4.49,0.3,-0.3,0.98,0.85,-0.85,288.49313,42.692478,13.429
618,3321,11237332,K03103.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,19.30768,0.00043,-0.00043,139.133,0.015,-0.015,0.25,0.98,-0.98,4.8313,,,33,,,0.56,,,699.0,,,,,,8.0,,,5900.0,,,4.425,,,1.01,,,288.27991,48.950523,12.506
619,3325,10031500,K03107.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,8.58986,0.00011,-0.00011,131.994,0.01,-0.01,0.03,0.13,-0.13,4.1687,,,312,,,1.83,0.99,-0.99,874.0,,,,,,15.1,,,5537.0,200.0,-200.0,4.4,0.3,-0.3,1.07,0.3,-0.3,298.71362,46.903118,15.214
620,3328,3858804,K00391.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,25.95068,0.00041,-0.00041,174.8787,0.0053,-0.0053,0.767,0.1,-0.1,13.1767,,,480,,,5.85,0.62,-0.62,825.0,,,,,,57.8,,,5208.0,61.0,-61.0,3.79,0.11,-0.11,2.43,0.25,-0.25,293.67245,38.985699,13.778
621,3333,8669092,K00068.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.0008396,1e-06,-1e-06,121.29433,0.00069,-0.00069,1.2,0.82,-0.82,1.1039,,,2492,,,40.0,26.0,-26.0,2291.0,,,,,,74.5,,,6341.0,83.0,-83.0,4.21,0.3,-0.3,1.41,0.62,-0.62,281.89307,44.827461,12.733
622,3341,5780715,K00506.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.5831556,4e-06,-4e-06,169.96541,0.00046,-0.00046,0.88,0.18,-0.18,1.2086,,,752,,,3.0,1.6,-1.6,1569.0,,,,,,109.2,,,6021.0,122.0,-122.0,4.51,0.3,-0.3,0.94,0.5,-0.5,288.50888,41.09589,14.731
623,3369,9288237,K03114.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,7.491341,9.3e-05,-9.3e-05,135.3107,0.0088,-0.0088,0.92,0.77,-0.77,6.4821,,,37,,,0.78,0.55,-0.55,1001.0,,,,,,18.4,,,6197.0,63.0,-63.0,4.45,0.3,-0.3,1.03,0.57,-0.57,294.71677,45.781269,12.277
624,3393,7812179,K00515.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,17.79441,2e-05,-2e-05,169.59511,0.00076,-0.00076,0.013,0.1,-0.1,2.9859,,,1705,,,3.2,2.0,-2.0,597.0,,,,,,128.6,,,5466.0,77.0,-77.0,4.6,0.3,-0.3,0.79,0.35,-0.35,288.02509,43.544579,14.427
625,3394,7840044,K00516.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,13.542027,8e-05,-8e-05,171.0979,0.004,-0.004,0.02,0.13,-0.13,3.2142,,,283,,,1.7,1.1,-1.1,789.0,,,,,,24.2,,,5891.0,104.0,-104.0,4.41,0.3,-0.3,1.01,0.41,-0.41,297.27911,43.567871,14.53
626,3397,5695904,K02983.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.42385469,9.5e-07,-9.5e-07,132.18983,0.00095,-0.00095,0.75,0.96,-0.96,1.0099,,,240,,,0.88,0.26,-0.26,1275.0,,,,,,35.1,,,3874.0,200.0,-200.0,4.75,0.3,-0.3,0.501,0.024,-0.024,288.71979,40.986141,15.586
627,3399,8847111,K02985.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.57588448,5.3e-07,-5.3e-07,132.00621,0.00049,-0.00049,0.22,0.64,-0.64,1.4716,,,479,,,2.12,0.84,-0.84,2241.0,,,,,,104.9,,,6047.0,200.0,-200.0,4.49,0.3,-0.3,0.99,0.3,-0.3,300.71927,45.09605,15.024
628,3400,4568298,K02986.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.5625559,2.6e-06,-2.6e-06,131.7479,0.0024,-0.0024,0.62,0.79,-0.79,1.6774,,,223,,,1.33,0.6,-0.6,2095.0,,,,,,21.5,,,5812.0,103.0,-103.0,4.55,0.3,-0.3,0.87,0.3,-0.3,293.53629,39.69009,15.945
629,3401,4374339,K02987.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.9937079,2.9e-06,-2.9e-06,132.1378,0.0016,-0.0016,0.9,0.89,-0.89,0.905,,,68,,,1.5,1.1,-1.1,2545.0,,,,,,21.1,,,6838.0,118.0,-118.0,4.21,0.3,-0.3,1.5,0.76,-0.76,293.98346,39.43042,12.928
630,3403,1725415,K02988.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.43731228,,,132.06982,,,0.3162,0.1,-0.1,1.8933,,,57,,,0.69,0.24,-0.24,1360.0,,,,,,6.7,,,6029.0,97.0,-97.0,4.51,0.3,-0.3,0.94,0.33,-0.33,292.3407,37.279861,14.513
631,3406,4848424,K02991.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.501769,1e-05,-1e-05,131.5643,0.0041,-0.0041,0.02,0.15,-0.15,3.377,,,113,,,0.69,0.33,-0.33,1185.0,,,,,,20.9,,,4978.0,188.0,-188.0,4.67,0.3,-0.3,0.67,0.05,-0.05,295.21753,39.933128,14.762
632,3408,10861608,K03118.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,174.9598,0.0051,-0.0051,151.164,0.019,-0.019,0.8,0.74,-0.74,5.2261,,,388,,,1.6,1.0,-1.0,242.0,,,,,,6.6,,,4879.0,200.0,-200.0,4.63,0.3,-0.3,0.73,0.3,-0.3,291.97382,48.26231,15.246
633,3411,10934313,K03121.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.926891,1.4e-05,-1.4e-05,131.6305,0.002,-0.002,0.36,0.53,-0.53,1.2821,,,157,,,1.36,0.71,-0.71,1607.0,,,,,,16.4,,,6210.0,143.0,-143.0,4.42,0.3,-0.3,1.07,0.44,-0.44,297.53055,48.38747,14.809
634,3414,4076976,K03124.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,4.880548,7.4e-05,-7.4e-05,133.7325,0.01,-0.01,0.03,0.11,-0.11,8.4794,,,118,,,0.75,0.74,-0.74,817.0,,,,,,21.1,,,4948.0,78.0,-78.0,4.59,0.3,-0.3,0.71,0.63,-0.63,296.25168,39.18399,14.203
635,3416,7097534,K03126.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,2.213936,2e-05,-2e-05,132.5683,0.0061,-0.0061,0.6,0.89,-0.89,4.746,,,84,,,0.93,0.47,-0.47,1425.0,,,,,,19.7,,,6021.0,86.0,-86.0,4.47,0.3,-0.3,0.98,0.37,-0.37,284.29959,42.604321,14.461
636,3425,5478055,K00411.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,15.852281,4.8e-05,-4.8e-05,174.2297,0.0021,-0.0021,0.019,0.1,-0.1,3.9194,,,975,,,3.5,2.0,-2.0,808.0,,,,,,52.9,,,5984.0,117.0,-117.0,4.31,0.3,-0.3,1.16,0.45,-0.45,299.00867,40.662231,14.508
637,3437,8265218,K00522.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,12.82994,5e-05,-5e-05,169.944,0.0014,-0.0014,0.82,0.23,-0.23,3.0188,,,1173,,,3.5,1.1,-1.1,750.0,,,,,,72.4,,,5894.0,77.0,-77.0,4.53,0.3,-0.3,0.9,0.27,-0.27,301.14789,44.104542,14.406
638,3440,11304987,K02993.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.69269425,3.5e-07,-3.5e-07,131.8038,0.00029,-0.00029,1.01,0.59,-0.59,1.014,,,1497,,,8.0,6.4,-6.4,2024.0,,,,,,175.4,,,5853.0,132.0,-132.0,4.5,0.3,-0.3,0.92,0.66,-0.66,295.56525,49.073139,15.417
639,3444,9777256,K02997.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.332499,1.3e-05,-1.3e-05,132.0925,0.0079,-0.0079,0.03,0.1,-0.1,4.3796,,,147,,,0.99,,,1402.0,,,,,,21.6,,,5156.0,,,4.484,,,0.836,,,294.53619,46.50983,15.255
640,3448,7433585,K02999.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.5455428,2e-06,-2e-06,131.7247,0.0018,-0.0018,0.023,0.1,-0.1,1.9997,,,86,,,0.89,0.48,-0.48,2299.0,,,,,,23.2,,,6064.0,95.0,-95.0,4.5,0.3,-0.3,0.96,0.43,-0.43,288.14764,43.099709,14.914
641,3452,6964159,K03129.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,25.50388,0.00032,-0.00032,139.3566,0.0091,-0.0091,0.95,0.41,-0.41,3.5764,,,194,,,1.59,0.7,-0.7,584.0,,,,,,12.9,,,5803.0,102.0,-102.0,4.54,0.3,-0.3,0.87,0.34,-0.34,296.04401,42.454708,14.746
642,3456,9541295,K03132.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.5366522,1.5e-06,-1.5e-06,131.7074,0.0013,-0.0013,0.03,0.93,-0.93,2.4664,,,34,,,0.62,0.43,-0.43,2410.0,,,,,,31.4,,,5993.0,98.0,-98.0,4.37,0.3,-0.3,1.08,0.52,-0.52,297.32971,46.136089,12.649
643,3457,7516809,K03133.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.24183915,6.2e-07,-6.2e-07,131.87566,0.0006,-0.0006,0.61,0.74,-0.74,0.8538,,,208,,,1.32,0.73,-0.73,2723.0,,,,,,36.7,,,5866.0,85.0,-85.0,4.54,0.3,-0.3,0.89,0.22,-0.22,288.24615,43.135841,15.525
