,id,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
516,2762,8258171,K00286.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,23.627228,8.1e-05,-8.1e-05,173.6509,0.0022,-0.0022,0.03,0.13,-0.13,8.2496,,,151,,,3.5,2.0,-2.0,1354.0,,,,,,70.0,,,8315.0,200.0,-200.0,3.86,0.3,-0.3,2.82,0.94,-0.94,299.22189,44.180519,11.641
517,2763,3241557,K02863.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.7033565,5.4e-06,-5.4e-06,132.4616,0.0018,-0.0018,0.22,0.76,-0.76,1.9602,,,97,,,0.92,0.55,-0.55,1558.0,,,,,,23.4,,,6052.0,82.0,-82.0,4.5,0.3,-0.3,0.95,0.42,-0.42,293.07806,38.359081,13.778
518,2764,3957082,K02864.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.778891,3.1e-05,-3.1e-05,134.1873,0.0055,-0.0055,0.15,0.85,-0.85,5.4195,,,51,,,0.75,0.52,-0.52,1274.0,,,,,,22.9,,,6086.0,106.0,-106.0,4.39,0.3,-0.3,1.08,0.54,-0.54,292.23782,39.00507,12.923
519,2782,3644653,K02596.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,119.6817,0.0076,-0.0076,176.117,0.04,-0.04,1.21,0.94,-0.94,5.6664,,,768,,,22.0,15.0,-15.0,338.0,,,,,,9.6,,,5705.0,119.0,-119.0,4.56,0.3,-0.3,0.85,0.39,-0.39,291.20081,38.747849,15.903
520,2787,10664416,K02599.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,25.32497,0.00034,-0.00034,138.4453,0.0095,-0.0095,0.03,0.1,-0.1,30.658,,,419,,,1.6,1.2,-1.2,529.0,,,,,,59.1,,,5232.0,73.0,-73.0,4.51,0.3,-0.3,0.81,0.49,-0.49,291.40079,47.924629,14.856
521,2788,9777251,K02600.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.332557,2.2e-05,-2.2e-05,132.0555,0.0049,-0.0049,0.52,0.12,-0.12,3.6557,,,126,,,1.3,0.35,-0.35,1677.0,,,,,,31.7,,,5539.0,200.0,-200.0,4.36,0.3,-0.3,1.13,0.3,-0.3,294.53516,46.506149,15.053
522,2799,6614629,K02737.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.52661718,7.6e-07,-7.6e-07,131.49581,0.00061,-0.00061,0.44,0.84,-0.84,1.129,,,60,,,0.81,0.52,-0.52,2291.0,,,,,,45.6,,,5628.0,80.0,-80.0,4.36,0.3,-0.3,1.02,0.42,-0.42,294.25339,42.062382,12.428
523,2800,6630943,K02738.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.6904068,1.1e-06,-1.1e-06,131.72867,0.00084,-0.00084,0.1,0.81,-0.81,1.7126,,,218,,,1.17,0.88,-0.88,1751.0,,,,,,52.1,,,5220.0,78.0,-78.0,4.51,0.3,-0.3,0.81,0.53,-0.53,298.03104,42.052479,14.606
524,2804,9899181,K02867.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.3325472,5.9e-06,-5.9e-06,132.0592,0.0025,-0.0025,0.12,0.77,-0.77,3.1847,,,28,,,0.39,,,1231.0,,,,,,23.4,,,4636.0,,,4.526,,,0.761,,,295.15051,46.772305,12.912
525,2808,4861791,K02870.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.62955,0.00012,-0.00012,136.858,0.017,-0.017,0.97,0.17,-0.17,4.5055,,,299,,,1.66,0.8,-0.8,795.0,,,,,,12.1,,,5605.0,200.0,-200.0,4.82,0.3,-0.3,0.64,0.3,-0.3,298.03931,39.901939,15.957
526,2812,7136729,K02872.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.173199,1.4e-05,-1.4e-05,133.3805,0.0027,-0.0027,0.37,0.8,-0.8,2.4992,,,122,,,0.99,0.73,-0.73,1140.0,,,,,,23.9,,,5417.0,75.0,-75.0,4.43,0.3,-0.3,0.91,0.5,-0.5,296.88654,42.655079,14.162
527,2824,11922678,K02425.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,3.512909,1.4e-05,-1.4e-05,133.7878,0.0024,-0.0024,0.027,0.1,-0.1,3.0714,,,95,,,1.19,0.59,-0.59,1461.0,,,,,,25.0,,,6466.0,100.0,-100.0,4.31,0.3,-0.3,1.26,0.49,-0.49,295.96283,50.24025,13.51
528,2828,10407221,K02605.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.9337378,5.4e-06,-5.4e-06,131.5208,0.0038,-0.0038,0.018,0.1,-0.1,4.9092,,,413,,,1.23,0.54,-0.54,1297.0,,,,,,79.8,,,4662.0,63.0,-63.0,4.65,0.3,-0.3,0.636,0.016,-0.016,292.84448,47.550419,15.647
529,2832,6705137,K02609.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,5.597253,2.5e-05,-2.5e-05,131.8672,0.0028,-0.0028,0.03,0.17,-0.17,1.8138,,,187,,,1.18,0.73,-0.73,973.0,,,,,,17.3,,,5799.0,98.0,-98.0,4.53,0.3,-0.3,0.88,0.36,-0.36,295.43375,42.16766,14.626
530,2841,3336765,K02740.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,1.844866,4.5e-06,-4.5e-06,132.1583,0.0014,-0.0014,0.3,0.7,-0.7,1.7162,,,100,,,1.09,0.64,-0.64,1644.0,,,,,,26.8,,,6180.0,85.0,-85.0,4.39,0.3,-0.3,1.09,0.51,-0.51,289.95581,38.463631,13.617
531,2842,5513893,K02741.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,0.7551023,2.6e-06,-2.6e-06,131.8143,0.0019,-0.0019,0.09,0.69,-0.69,3.0218,,,52,,,0.65,0.3,-0.3,2002.0,,,,,,36.5,,,5973.0,77.0,-77.0,4.52,0.3,-0.3,0.92,0.31,-0.31,284.36902,40.718491,13.009
532,2848,5302643,K02746.01,,FALSE POSITIVE,FALSE POSITIVE,,,,,,69.20094,0.00049,-0.00049,145.9458,0.0048,-0.0048,1.18,0.93,-0.93,3.8301,,,2080,,,35.0,21.0,-21.0,593.0,,,,,,30.8,,,7048.0,170.0,-170.0,4.33,0.3,-0.3,1.34,0.43,-0.43,298.41934,40.440819,15.329
